iter	Passed	Remaining
0	498	497980
1	985	491879
2	1449	481693
3	1890	470735
4	2620	521569
5	3186	527877
6	3719	527631
7	4260	528348
8	4634	510316
9	4965	491626
10	5291	475766
11	5642	464532
