iter	RMSE
600	7055060.97
601	7049450.27
602	7046099.918
603	7038193.426
604	7032758.344
605	7027326.264
606	7022610.099
607	7018564.453
608	7012123.532
609	7007171.038
610	7002039.137
611	6995276.361
612	6989163.213
613	6985701.205
614	6980687.836
615	6974480.211
616	6966056.289
617	6960368.398
618	6952999.707
619	6948090.534
620	6943669.01
621	6937945.237
622	6934479.238
623	6928245.272
624	6923919.921
625	6919507.2
626	6913241.757
627	6907274.845
628	6899164.814
629	6892373.987
630	6886227.202
631	6878077.865
632	6873506.688
633	6869617.802
634	6863457.177
635	6858191.715
636	6854857.878
637	6847891.771
638	6844629.27
639	6840228.874
640	6834524.838
641	6830395.144
642	6823513.92
643	6817831.353
644	6812410.415
645	6805841.911
646	6800725.115
647	6795213.893
648	6787244.719
649	6782831.522
650	6777054.363
651	6772560.145
652	6766806.257
653	6761354.89
654	6758746.439
655	6753633.862
656	6748467.526
657	6741691.021
658	6735355.693
659	6729013.24
660	6724805.076
661	6720665.919
662	6714274.507
663	6710279.499
664	6705114.438
665	6700087.518
666	6697598.379
667	6692310.321
668	6685589.105
669	6681014.721
670	6676964.654
671	6673440.448
672	6666187.719
673	6659716.354
674	6655078.424
675	6646257
676	6640479.431
677	6634585.822
678	6627456.442
679	6624098.488
680	6620470.836
681	6614735.278
682	6607825.232
683	6602075.95
684	6598357.78
685	6593592.277
686	6588442.806
687	6585320.146
688	6578921.171
689	6575447.702
690	6569014.711
691	6564177.617
692	6559429.066
693	6555355.134
694	6551188.672
695	6546484.426
696	6541812.504
697	6535046.772
698	6528294.21
699	6521835.536
700	6517836.071
701	6512950.874
702	6509488.82
703	6505673.582
704	6498692.233
705	6493277.851
706	6488678.678
707	6484691.988
708	6480122.992
709	6476330.281
710	6472548.189
711	6467937.347
712	6462276.911
713	6457237.316
714	6453178.106
715	6448423.565
716	6442704.205
717	6437598.591
718	6429957.762
719	6426659.556
720	6419930.829
721	6415013.087
722	6411945.329
723	6408206.363
724	6404922.466
725	6399688.494
726	6394883.539
727	6388576.966
728	6382766.815
729	6377125.582
730	6369119.358
731	6366125.905
732	6361311.302
733	6355535.408
734	6352704.36
735	6347609.001
736	6341237.436
737	6335198.9
738	6331847.598
739	6329540.067
740	6323868.051
741	6319062.002
742	6315517.01
743	6311316.408
744	6305424.146
745	6299632.922
746	6295539.541
747	6292515.684
748	6288352.789
749	6283896.526
750	6277657.313
751	6274014.841
752	6268000.049
753	6263403.119
754	6261334.537
755	6257651.702
756	6254149.777
757	6247944.463
758	6243239.525
759	6238936.636
760	6233464.815
761	6229146.954
762	6224105.359
763	6219192.078
764	6214840.254
765	6210436.273
766	6205514.632
767	6200633.349
768	6196970.044
769	6193865.255
770	6190087.999
771	6186621.218
772	6181342.136
773	6178345.496
774	6175082.589
775	6169668.527
776	6165218.252
777	6160607.209
778	6156782.546
779	6152627.378
780	6149585.768
781	6145502.526
782	6140117.055
783	6134423.836
784	6130548.871
785	6125648.461
786	6121947.803
787	6117779.623
788	6113976.512
789	6109180.326
790	6105002.409
791	6101763.809
792	6095859.292
793	6089629.532
794	6086473.032
795	6080374.54
796	6076909.749
797	6072817.286
798	6069004.352
799	6066991.955
800	6064040.908
801	6061212.319
802	6056745.587
803	6052840.786
804	6047322.584
805	6042073.504
806	6037238.313
807	6034052.842
808	6030501.209
809	6026697.516
810	6022548.015
811	6019132.912
812	6015247.492
813	6012876.411
814	6009671.236
815	6004900.847
816	6001027.214
817	5995210.957
818	5989890.165
819	5985953.982
820	5981132.034
821	5977327.941
822	5973381.3
823	5969418.395
824	5964358.207
825	5960818.176
826	5957005.598
827	5953018.666
828	5949509.187
829	5944963.714
830	5942474.152
831	5937601.988
832	5933795.35
833	5929264.746
834	5922027.169
835	5917106.86
836	5912898.714
837	5907782.577
838	5903114.551
839	5899074.237
840	5893049.509
841	5887943.887
842	5882911.607
843	5879263.84
844	5876206.779
845	5872412.315
846	5867092.367
847	5864640.342
848	5860628.269
849	5857138.508
850	5852569.755
851	5848048.418
852	5843612.094
853	5838438.606
854	5830497.643
855	5827394.413
856	5824720.57
857	5821273.987
858	5816572.575
859	5811090.094
860	5807617.37
861	5804848.375
862	5800890.994
863	5794551.226
864	5791053.013
865	5786180.575
866	5782520.85
867	5777370.445
868	5773403.451
869	5768612.22
870	5763289.348
871	5761152.57
872	5756989.227
873	5752125.326
874	5747704.93
875	5745484.388
876	5740423.405
877	5736668.238
878	5732980.015
879	5727811.273
880	5724015.081
881	5721599.48
882	5718032.754
883	5712319.266
884	5708123.083
885	5705749.592
886	5703676.742
887	5700325.742
888	5696857.789
889	5693308.108
890	5688754.588
891	5685606.991
892	5682306.575
893	5678559.163
894	5674304.625
895	5671729.898
896	5666848.378
897	5663061.462
898	5659508.829
899	5655678.367
900	5651246.558
901	5646013.387
902	5642658.563
903	5638593.901
904	5634138.345
905	5629128.443
906	5625864.976
907	5623467.341
908	5619971.301
909	5615287.583
910	5612281.133
911	5608339.254
912	5604764.847
913	5601159.373
914	5598039.015
915	5594890.897
916	5591213.108
917	5585691.057
918	5582129.219
919	5579247.717
920	5575247.621
921	5571757.32
922	5568717.034
923	5564783.408
924	5561903.302
925	5558969.779
926	5555526.395
927	5551632.127
928	5548541.887
929	5544012.427
930	5541327.415
931	5537880.857
932	5532980.541
933	5529446.652
934	5526275.469
935	5523628.385
936	5520587.757
937	5518610.699
938	5515084.384
939	5510941.094
940	5505280.608
941	5502004.982
942	5499640.016
943	5496951.819
944	5493754.851
945	5490413.416
946	5487377.445
947	5484463.539
948	5480570.716
949	5478500.363
950	5475517.381
951	5471085.5
952	5468220.074
953	5465291.461
954	5461682.068
955	5458162.698
956	5455825.561
957	5452861.01
958	5448665.995
959	5446204.98
960	5442683.022
961	5439060.585
962	5435119.375
963	5429254.036
964	5426918.496
965	5424699.608
966	5420984.128
967	5418124.333
968	5414651.122
969	5411392.126
970	5405662.106
971	5399666.653
972	5395451.45
973	5391836.579
974	5388496.046
975	5385890.19
976	5382702.172
977	5379214.361
978	5376228.448
979	5373319.293
980	5369918.373
981	5367564.947
982	5364773.425
983	5361855.624
984	5358176.482
985	5355732.412
986	5352321.88
987	5348351.708
988	5344568.617
989	5339486.417
990	5336940.15
991	5334016.789
992	5329695.697
993	5326753.935
994	5322785.7
995	5320800.158
996	5317163.132
997	5314744.46
998	5312187.353
999	5309314.359
