iter	Passed	Remaining
238	5251	16721
239	5271	16692
240	5291	16664
241	5314	16645
242	5337	16626
243	5355	16594
244	5374	16562
245	5392	16527
246	5411	16496
247	5431	16468
248	5449	16435
249	5468	16405
250	5489	16381
251	5509	16353
252	5529	16326
253	5550	16301
254	5571	16276
255	5591	16250
256	5612	16227
257	5634	16204
258	5654	16177
259	5674	16151
260	5692	16118
261	5714	16097
262	5735	16071
263	5752	16036
264	5775	16019
265	5806	16023
266	5836	16022
267	5858	16001
268	5888	16001
269	5914	15989
270	5945	15993
271	5973	15986
272	5993	15961
273	6013	15933
274	6034	15908
275	6052	15877
276	6074	15854
277	6096	15833
278	6116	15807
279	6138	15785
280	6160	15763
281	6181	15737
282	6202	15714
283	6223	15690
284	6245	15669
285	6268	15648
286	6289	15624
287	6310	15601
288	6531	16069
289	6586	16125
290	6624	16140
291	6654	16134
292	6691	16146
293	6720	16137
294	6756	16146
295	6796	16164
296	6824	16154
297	6863	16168
298	6899	16175
299	6926	16162
300	6964	16174
301	6989	16154
302	7012	16131
303	7036	16110
304	7060	16089
305	7083	16065
306	7122	16078
307	7153	16073
308	7175	16046
309	7198	16023
310	7257	16079
311	7286	16068
312	7310	16045
313	7334	16023
314	7452	16205
315	7606	16465
316	7659	16502
317	7715	16546
318	7744	16533
319	7769	16510
320	7797	16494
321	7822	16470
322	7847	16448
323	7875	16432
324	7907	16423
325	7939	16414
326	7966	16395
327	7996	16384
328	8027	16372
329	8059	16362
330	8084	16339
331	8111	16321
332	8136	16298
333	8168	16288
334	8205	16288
335	8231	16267
336	8254	16240
337	8280	16218
338	8309	16202
339	8346	16201
340	8397	16227
341	8442	16242
342	8468	16221
343	8496	16202
344	8530	16195
345	8565	16190
346	8598	16180
347	8627	16163
348	8660	16154
349	8703	16163
350	8761	16200
351	8813	16224
352	8851	16223
353	8877	16199
354	8906	16181
355	8939	16171
356	8968	16153
357	9000	16141
358	9034	16131
359	9062	16111
360	9092	16094
361	9127	16085
362	9153	16063
363	9185	16049
364	9215	16033
365	9247	16018
366	9278	16004
367	9308	15986
368	9345	15980
369	9381	15974
370	9409	15952
371	9446	15947
372	9477	15930
373	9509	15917
374	9538	15897
375	9565	15875
376	9594	15855
377	9626	15840
378	9658	15824
379	9698	15823
380	9736	15819
381	9777	15817
382	9802	15791
383	9828	15767
384	9854	15741
385	9878	15713
386	9901	15684
387	9926	15657
388	9951	15629
389	9975	15602
390	10001	15577
391	10031	15558
392	10064	15545
393	10093	15525
394	10123	15505
395	10152	15485
396	10177	15458
397	10210	15443
398	10237	15420
399	10273	15410
400	10303	15390
401	10336	15376
402	10365	15355
403	10402	15346
404	10444	15344
405	10477	15329
406	10524	15333
407	10565	15329
408	10649	15388
409	10677	15365
410	10703	15339
411	10731	15316
412	10768	15305
413	10804	15293
414	10836	15276
415	10875	15267
416	10912	15256
417	10942	15236
418	10974	15217
419	11002	15194
420	11030	15170
421	11060	15149
422	11083	15118
423	11107	15089
424	11130	15059
425	11152	15027
426	11178	15000
427	11210	14982
428	11252	14977
429	11282	14955
430	11317	14941
431	11352	14925
432	11389	14914
433	11425	14900
434	11460	14885
435	11493	14868
436	11526	14850
437	11562	14835
438	11596	14819
439	11633	14806
440	11670	14792
441	11702	14773
442	11733	14752
443	11762	14729
444	11815	14736
445	11849	14719
446	11883	14701
447	11919	14686
448	11978	14699
449	12011	14680
450	12058	14678
451	12102	14672
452	12142	14661
453	12210	14685
454	12267	14693
455	12322	14701
456	12367	14694
457	12404	14679
458	12490	14722
459	12540	14720
460	12580	14709
461	12644	14724
462	12692	14720
463	12819	14808
464	12845	14779
465	12876	14755
466	12922	14748
467	12966	14739
468	13000	14719
469	13033	14697
470	13064	14672
471	13094	14647
472	13128	14626
473	13159	14603
474	13194	14582
475	13243	14578
476	13280	14561
477	13314	14540
478	13352	14522
479	13389	14505
480	13430	14491
481	13463	14469
482	13498	14448
483	13531	14426
484	13582	14422
485	13637	14422
486	13681	14411
487	13711	14386
488	13748	14367
489	13796	14359
490	13828	14335
491	13868	14319
492	13903	14298
493	13936	14274
494	13978	14261
495	14020	14246
496	14056	14225
497	14085	14198
498	14116	14173
499	14153	14153
500	14205	14148
501	14250	14137
502	14300	14129
503	14341	14114
504	14381	14096
505	14423	14081
506	14465	14066
507	14511	14054
508	14552	14038
509	14590	14018
510	14635	14005
511	14680	13992
512	14719	13973
513	14756	13952
514	14788	13927
515	14827	13907
516	14863	13885
517	14899	13864
518	14935	13842
519	14967	13816
520	14999	13790
521	15038	13771
522	15081	13754
523	15129	13743
524	15163	13719
525	15203	13700
526	15265	13700
527	15310	13686
528	15359	13675
529	15413	13668
530	15462	13657
531	15557	13686
532	15596	13665
533	15638	13647
534	15673	13622
535	15712	13601
536	15757	13585
537	15821	13586
538	15869	13572
539	15909	13552
540	15947	13530
541	15987	13509
542	16040	13500
543	16082	13480
544	16118	13456
545	16160	13437
546	16204	13419
547	16259	13410
548	16302	13392
549	16346	13374
550	16394	13359
551	16439	13342
552	16488	13327
553	16526	13304
554	16572	13287
555	16616	13269
556	16681	13267
557	16734	13255
558	16783	13240
559	16824	13219
560	16874	13204
561	16916	13183
562	16962	13165
563	17008	13148
564	17063	13137
565	17118	13126
566	17161	13105
567	17198	13080
568	17251	13067
569	17303	13053
570	17352	13037
571	17391	13013
572	17446	13001
573	17491	12981
574	17549	12971
575	17595	12952
576	17640	12932
577	17688	12914
578	17746	12903
579	17817	12902
580	17863	12882
581	17909	12862
582	17944	12835
583	17984	12810
584	18030	12790
585	18077	12771
586	18129	12755
587	18178	12737
588	18225	12717
589	18275	12699
590	18321	12679
591	18373	12662
592	18423	12644
593	18472	12626
594	18518	12604
595	18567	12585
596	18621	12570
597	18670	12551
598	18714	12528
599	18784	12523
600	18847	12512
601	18893	12490
602	18947	12474
603	19003	12459
604	19053	12439
605	19110	12424
606	19157	12403
607	19218	12391
608	19283	12380
609	19344	12368
610	19418	12363
611	19498	12362
612	19563	12350
613	19637	12345
614	19711	12339
615	19918	12416
616	19999	12414
617	20070	12405
618	20167	12413
619	20246	12409
620	20321	12402
621	20401	12398
622	20486	12396
623	20558	12388
624	20622	12373
625	20680	12355
626	20739	12337
627	20790	12315
628	20851	12299
629	20912	12281
630	20976	12266
631	21064	12265
632	21140	12256
633	21208	12243
634	21286	12235
635	21339	12213
636	21404	12197
637	21472	12183
638	21552	12176
639	21611	12156
640	21653	12127
641	21844	12181
642	22145	12295
643	22449	12409
644	22584	12430
645	22734	12458
646	22889	12488
647	23040	12515
648	23213	12554
649	23315	12554
650	23407	12548
651	23535	12561
652	23673	12580
653	23821	12602
654	23956	12618
655	24181	12680
656	24330	12702
657	24684	12829
658	24967	12919
659	25127	12944
660	25327	12989
661	25497	13018
662	25694	13060
663	25851	13081
664	25980	13088
665	26126	13102
666	26223	13091
667	26361	13101
668	26520	13121
669	26713	13157
670	26814	13147
671	26960	13159
672	27048	13142
673	27118	13116
674	27239	13115
675	27349	13108
676	27481	13111
677	27646	13130
678	27793	13139
679	27918	13137
680	28022	13126
681	28125	13114
682	28248	13110
683	28384	13113
684	28577	13141
685	28702	13137
686	28814	13127
687	28955	13130
688	29044	13109
689	29198	13118
690	29326	13114
691	29464	13114
692	29611	13117
693	29780	13130
694	29916	13128
695	30055	13127
696	30193	13125
697	30308	13113
698	30406	13093
699	30542	13089
700	30678	13085
701	30780	13066
702	30860	13037
703	30981	13026
704	31078	13004
705	31200	12992
706	31293	12968
707	31420	12958
708	31599	12969
709	31813	12994
710	32035	13021
711	32186	13019
712	32372	13030
713	32801	13139
714	33279	13265
715	33653	13348
716	33858	13364
717	34201	13432
718	34464	13469
719	34635	13469
720	34865	13491
721	35047	13494
722	35261	13509
723	35471	13522
724	35668	13529
725	35892	13546
726	36051	13537
727	36191	13521
728	36394	13529
729	36533	13512
730	36682	13498
731	36911	13514
732	37041	13492
733	37167	13469
734	37246	13429
735	37376	13406
736	37495	13380
737	37651	13366
738	37823	13358
739	37979	13344
740	38098	13316
741	38228	13292
742	38441	13296
743	38595	13280
744	38734	13258
745	38868	13234
746	39008	13211
747	39177	13198
748	39301	13170
749	39437	13145
750	39582	13123
751	39767	13114
752	39878	13080
753	40000	13050
754	40121	13019
755	40217	12980
756	40333	12947
757	40439	12910
758	40557	12878
759	40654	12838
760	40755	12799
761	40849	12758
762	41078	12759
763	41222	12733
764	41631	12788
765	41751	12754
766	41895	12727
767	41987	12683
768	42121	12652
769	42328	12643
770	42507	12625
771	42662	12599
772	42765	12558
773	43227	12621
774	43493	12627
775	43572	12577
776	43711	12545
777	43899	12526
778	44113	12514
779	44301	12495
780	44468	12469
781	44600	12433
782	44811	12418
783	44911	12373
784	45039	12335
785	45123	12285
786	45258	12248
787	45511	12244
788	45684	12217
789	45838	12184
790	45939	12138
791	46106	12108
792	46258	12074
793	46451	12051
794	46699	12042
795	46803	11994
796	46946	11957
797	47025	11903
798	47128	11855
799	47318	11829
800	47415	11779
801	47572	11744
802	47665	11693
803	47750	11640
804	47829	11585
805	47933	11537
806	48089	11500
807	48194	11452
808	48268	11395
809	48449	11364
810	48584	11322
811	48791	11296
812	48862	11238
813	48963	11188
814	49137	11153
815	49293	11115
816	49420	11069
817	49499	11013
818	49600	10961
819	49716	10913
820	49783	10854
821	49883	10801
822	50009	10755
823	50068	10694
824	50129	10633
825	50171	10568
826	50213	10504
827	50287	10446
828	50357	10387
829	50423	10327
830	50474	10264
831	50521	10201
832	50558	10135
833	50611	10073
834	50674	10013
835	50735	9952
836	50802	9893
837	50891	9838
838	50966	9780
839	50997	9713
840	51064	9654
841	51159	9600
842	51259	9546
843	51329	9487
844	51408	9429
845	51478	9370
846	51522	9306
847	51608	9250
848	51683	9192
849	51765	9135
850	51821	9073
851	51924	9019
852	52011	8963
853	52131	8912
854	52220	8856
855	52284	8795
856	52411	8745
857	52527	8693
858	52681	8647
859	52796	8594
860	52908	8541
861	52982	8482
862	53081	8426
863	53164	8368
864	53236	8308
865	53310	8248
866	53396	8191
867	53474	8132
868	53527	8069
869	53640	8015
870	53820	7971
871	54046	7933
872	54117	7872
873	54182	7811
874	54275	7753
875	54333	7691
876	54393	7628
877	54485	7570
878	54690	7528
879	54819	7475
880	54959	7423
881	55097	7371
882	55203	7314
883	55256	7250
884	55305	7186
885	55348	7121
886	55438	7062
887	55502	7000
888	55568	6938
889	55612	6873
890	55675	6811
891	55727	6747
892	55770	6682
893	55812	6617
894	55908	6559
895	55968	6496
896	56016	6432
897	56076	6369
898	56132	6306
899	56191	6243
900	56244	6180
901	56298	6116
902	56366	6054
903	56448	5994
904	56491	5929
905	56537	5865
906	56617	5805
907	56664	5741
908	56701	5676
909	56743	5612
910	56786	5547
911	56826	5483
912	56871	5419
913	56900	5353
914	56932	5288
915	56967	5224
916	57000	5159
917	57048	5095
918	57091	5032
919	57129	4967
920	57162	4903
921	57202	4839
922	57241	4775
923	57280	4711
924	57392	4653
925	57472	4592
926	57520	4529
927	57560	4465
928	57592	4401
929	57636	4338
930	57680	4274
931	57714	4210
932	57752	4147
933	57791	4083
934	57832	4020
935	57870	3956
936	57902	3893
937	57943	3829
938	57976	3766
939	58012	3702
940	58056	3640
941	58136	3579
942	58242	3520
943	58311	3459
944	58351	3396
945	58404	3333
946	58439	3270
947	58480	3207
948	58523	3145
949	58556	3081
950	58594	3019
951	58643	2956
952	58677	2893
953	58721	2831
954	58770	2769
955	58811	2706
956	58858	2644
957	58931	2583
958	59001	2522
959	59069	2461
960	59109	2398
961	59145	2336
962	59187	2274
963	59226	2211
964	59272	2149
965	59307	2087
966	59341	2025
967	59386	1963
968	59423	1901
969	59465	1839
970	59504	1777
971	59542	1715
972	59580	1653
973	59637	1591
974	59723	1531
975	59806	1470
976	59974	1411
977	60005	1349
978	60039	1287
979	60087	1226
980	60133	1164
981	60166	1102
982	60215	1041
983	60265	979
984	60310	918
985	60357	857
986	60430	795
987	60518	735
988	60599	674
989	60658	612
990	60707	551
991	60761	490
992	60833	428
993	60879	367
994	60933	306
995	60977	244
996	61015	183
997	61057	122
998	61099	61
999	61145	0
